SalesOrderNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount,ProductMetadata
SO1040,2025-01-19,Louis Richmond,kwilliams@hudson.com,Gadget X,1.0,56.07,4.49,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1041,2025-04-29,Brian Barrett,,Widget A,1.0,68.88,5.51,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1042,2025-05-03,Jennifer Ryan,omiller@morris-perez.com,Gadget X,3.0,12.86,1.03,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1043,2025-05-08,Kevin Fernandez,nashhayley@hotmail.com,Gadget Y,0.0,58.07,4.65,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1044,2025-04-29,Jacqueline Mcdonald,morenotiffany@wilson.com,Gadget Y,20.0,38.04,3.04,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1045,2024-10-12,David Mcdonald,julieclarke@yahoo.com,Widget B,2.0,59.82,4.79,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1046,2025-04-29,Marc Robinson,,Gadget X,2.0,85.06,6.8,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1047,2024-06-21,Nicholas Davis,heatherfrye@yahoo.com,Gadget X,20.0,74.47,5.96,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1048,2024-06-12,Vanessa Le,walkerjennifer@gmail.com,Gadget Y,2.0,92.2,7.38,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1049,2025-04-27,Gregory Patterson,destiny84@chandler-marshall.com,Gadget X,0.0,23.75,1.9,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1050,2024-09-02,Courtney Velasquez,jameshawkins@gmail.com,Widget B,2.0,80.47,6.44,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1051,2025-04-03,Billy Williams,nelsondean@hotmail.com,Gadget X,,36.84,2.95,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1052,2025-01-14,Michele Valentine,watkinssarah@williams.com,Gadget Y,20.0,15.64,1.25,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1053,2024-09-02,John Gardner,adamskevin@yahoo.com,Gadget X,20.0,84.88,6.79,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1054,2024-06-03,Lisa Adams,jenniferbryant@hotmail.com,Widget C,2.0,75.81,6.06,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1055,2024-05-20,Mr. Jeremy Vargas,shanehamilton@smith.biz,Gadget Y,,86.73,6.94,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1056,2024-07-18,Connie Thornton,karen66@hotmail.com,Widget C,,74.97,6.0,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1057,2025-01-12,Shannon Smith,alicia16@parker.info,Widget C,0.0,70.66,5.65,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1058,2025-03-07,Douglas Crosby,kristopherdixon@lee.net,Widget B,3.0,12.18,0.97,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1059,2025-04-22,William Gonzalez,todddawn@yahoo.com,Widget C,20.0,57.35,4.59,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1060,2024-05-29,Sean Anderson,lloydwilliam@hughes.com,Gadget Y,20.0,60.92,4.87,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1061,2024-06-16,Mark Gardner,rhodesjonathan@taylor-ortiz.info,Gadget X,3.0,61.17,4.89,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1062,2025-04-20,Brian Reed,ericgrimes@hotmail.com,Widget B,20.0,86.81,6.94,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1063,2024-05-30,Sarah Pruitt,karina42@yahoo.com,Gadget Y,20.0,68.61,5.49,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1064,2025-05-16,Gene Roach DDS,john90@rasmussen.com,Gadget X,10.0,24.06,1.92,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1065,2024-05-17,Eric Johnson,,Widget C,0.0,17.52,1.4,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1066,2025-04-27,Austin Pena,ycampbell@yahoo.com,Widget B,20.0,85.09,6.81,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1067,2025-01-13,Robert Patterson,stewartchristopher@gmail.com,Gadget Y,1.0,90.65,7.25,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1068,2024-07-12,Aaron Arnold,heather24@hotmail.com,Widget B,0.0,69.55,5.56,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1069,2024-12-11,Jim Lee,stacy71@yahoo.com,Gadget Y,0.0,17.01,1.36,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1070,2025-05-13,Aaron Leblanc,arnoldanthony@gmail.com,Gadget Y,0.0,73.5,5.88,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1071,2024-11-04,Kendra Snyder,abigail21@hotmail.com,Widget A,2.0,77.43,6.19,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1072,2024-11-05,Dawn Reeves,vtaylor@sims.com,Gadget X,5.0,98.01,7.84,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1073,2024-08-18,Michael Small,cesarchristian@rice.org,Widget C,5.0,89.19,7.14,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1074,2024-05-25,Holly Johnson,justinpacheco@yahoo.com,Widget A,20.0,87.42,6.99,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1075,2024-11-01,Jennifer Villarreal,williamsphilip@yahoo.com,Widget C,10.0,72.51,5.8,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1076,2025-05-07,Andrew Gilbert,maureenlee@atkins.com,Gadget Y,20.0,21.41,1.71,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1077,2025-04-26,Belinda Green,burtonjanet@yahoo.com,Widget B,10.0,89.04,7.12,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1078,2024-07-09,Denise Wright,jamesharris@martinez.com,Gadget Y,2.0,49.42,3.95,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1079,2025-01-09,Jessica Fisher,markvaldez@valenzuela-perez.org,Gadget X,1.0,42.5,3.4,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1080,2024-12-23,Lawrence Hanson,julie27@gmail.com,Widget C,2.0,37.52,3.0,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1081,2024-10-17,Brian Robinson,jonathangreen@hotmail.com,Widget C,5.0,28.61,2.29,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1082,2024-09-25,Kyle Mccormick,david05@stephens.biz,Gadget Y,3.0,49.18,3.93,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1083,2025-01-02,Madison Long,gregory06@gould.net,Widget C,0.0,26.62,2.13,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1084,2024-09-02,Christine Macdonald,,Widget B,0.0,50.79,4.06,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1085,2025-05-13,Frank Howell,donald68@johnson-cook.org,Gadget Y,10.0,75.79,6.06,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1086,2025-03-11,Daniel Anderson,bryantjessica@castro.com,Widget A,20.0,42.27,3.38,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1087,2024-06-27,Mrs. Stephanie Gomez,johnmoss@pena.biz,Widget B,20.0,20.54,1.64,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1088,2024-11-10,Martin Smith,jeffreyward@gmail.com,Widget A,3.0,33.01,2.64,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1089,2025-03-15,George Fleming,sturner@hotmail.com,Gadget Y,,84.62,6.77,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1090,2024-12-03,Jonathan Vincent,rgreen@gmail.com,Widget B,3.0,17.4,1.39,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1091,2024-12-14,Daniel Peters,merrittjason@campbell.info,Gadget Y,0.0,96.26,7.7,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1092,2024-12-07,David Love,lclark@quinn.com,Gadget X,2.0,39.37,3.15,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1093,2024-12-12,Kerry Sanders,,Widget A,2.0,74.78,5.98,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1094,2024-11-30,Amanda Petersen,mark62@hotmail.com,Widget C,0.0,66.86,5.35,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1095,2024-05-22,Stacy Patterson,rodriguezcynthia@yahoo.com,Gadget Y,10.0,13.06,1.04,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1096,2025-03-12,Theodore Brooks,howelljames@sharp.com,Gadget X,,35.48,2.84,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1097,2024-09-23,Elizabeth Reyes,michellebaker@williams.com,Widget C,20.0,61.32,4.91,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1098,2025-03-17,Andrew Gutierrez,shawn95@gmail.com,Widget C,1.0,37.62,3.01,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1099,2025-01-23,Maria Gomez,nicole74@alexander.biz,Widget B,2.0,30.31,2.42,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1100,2024-12-02,Tiffany Sweeney,olsonanne@hotmail.com,Widget C,5.0,34.09,2.73,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1101,2024-11-24,Travis Hernandez,christopher21@gmail.com,Gadget X,1.0,76.85,6.15,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1102,2025-05-02,Joseph Scott,campbelltina@white-ortiz.org,Widget C,1.0,21.41,1.71,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1103,2025-02-05,Michael Ellis,brockwilliam@moore.com,Widget A,20.0,81.73,6.54,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1104,2024-09-20,David Roberson,jenniferanderson@fisher.biz,Widget A,20.0,14.8,1.18,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1105,2025-03-04,David Summers,krodriguez@lopez.com,Widget A,0.0,95.17,7.61,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1106,2024-09-04,Austin Roberts,,Gadget X,1.0,27.3,2.18,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1107,2024-07-02,Anthony Lewis,,Widget B,2.0,82.35,6.59,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1108,2024-06-21,Lucas Carter,andrew99@manning.com,Gadget Y,5.0,16.14,1.29,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1109,2024-11-24,Michael Chase,,Widget C,3.0,54.0,4.32,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1110,2024-10-08,Dean Donovan,jennifer23@petty.com,Gadget Y,5.0,49.71,3.98,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1111,2024-09-08,Patricia Sanchez,taylorchristopher@hicks-phillips.com,Widget B,2.0,39.18,3.13,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1112,2024-12-22,Holly Winters,michelle36@porter.com,Widget C,20.0,51.73,4.14,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1113,2024-12-25,Dawn George,foleyralph@murphy-decker.com,Widget A,10.0,93.39,7.47,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1114,2025-03-11,Vanessa Jimenez,thomas55@gmail.com,Widget C,3.0,73.53,5.88,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1115,2024-08-23,Michele Duke,,Gadget X,3.0,33.92,2.71,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1116,2025-01-17,Wesley White,marissa74@miller.com,Gadget X,10.0,23.06,1.84,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1117,2025-01-03,Lisa Sanchez,,Widget B,0.0,18.07,1.45,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1118,2024-12-29,Rebecca Richardson,umoss@lopez.com,Widget B,20.0,62.77,5.02,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1119,2024-09-19,John Allen,stephensmith@yahoo.com,Gadget X,20.0,97.67,7.81,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1120,2024-11-30,Douglas Stone,evelyn11@gmail.com,Gadget Y,1.0,96.51,7.72,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1121,2025-04-07,Richard Reid,yfreeman@hotmail.com,Widget C,3.0,54.86,4.39,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1122,2024-08-13,Seth Proctor,,Widget B,5.0,22.52,1.8,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1123,2024-08-24,Sandra Hart,jonathancrawford@hotmail.com,Widget C,20.0,93.89,7.51,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1124,2025-02-21,Michael Hays,vrussell@yahoo.com,Gadget X,2.0,85.85,6.87,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1125,2025-02-11,Melissa Payne,,Gadget Y,20.0,76.41,6.11,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1126,2024-07-31,Sherry Hutchinson,kimberlyclark@le.org,Widget C,2.0,78.75,6.3,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1127,2024-10-29,Erica Hartman,lwilkinson@hotmail.com,Widget C,10.0,35.9,2.87,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1128,2024-12-09,Amanda Ramos,smartin@arnold.org,Gadget X,1.0,77.65,6.21,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1129,2024-11-04,Cindy Hayden,jsmith@velez.net,Widget A,5.0,23.2,1.86,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1130,2025-02-04,Tara Whitaker,amiddleton@evans-johnson.info,Widget C,3.0,70.71,5.66,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1131,2024-10-05,Cory Roy,marcus60@nguyen.com,Gadget X,1.0,25.15,2.01,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1132,2025-05-16,Robert Hall,jacksonkatrina@fernandez.info,Widget C,1.0,56.69,4.54,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1133,2025-01-14,Sarah Ellis,fwright@yahoo.com,Gadget Y,3.0,72.73,5.82,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1134,2024-08-25,Stacy Acosta,david86@yahoo.com,Gadget Y,20.0,68.87,5.51,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1135,2025-02-08,Carl Rios,pwilliams@cooper.com,Gadget Y,0.0,65.04,5.2,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1136,2024-06-27,Deanna Torres,dwalker@hotmail.com,Widget C,10.0,40.66,3.25,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1137,2024-12-18,Tonya Moreno,,Widget B,0.0,68.79,5.5,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1138,2025-04-17,Ronald Torres,mkelly@barker.net,Widget B,20.0,53.78,4.3,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1139,2024-11-15,Nicole Davis,elizabeth10@hotmail.com,Widget B,0.0,88.06,7.04,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1140,2025-02-07,Tristan Kim,robinandrews@hotmail.com,Gadget Y,0.0,42.04,3.36,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1141,2024-08-21,Scott Watts,kellystewart@cervantes.com,Widget C,0.0,81.77,6.54,"{""color"": ""green"", ""warranty"": ""2 years""}"
SO1142,2024-05-31,Steven Gonzalez,lisa43@gmail.com,Widget B,5.0,98.06,7.84,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1143,2025-04-17,Julie Kline,leslie89@yahoo.com,Widget B,2.0,36.87,2.95,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1144,2024-07-15,Mr. Brian Hall PhD,matthewroberts@hotmail.com,Gadget X,20.0,78.33,6.27,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1145,2025-05-01,James Johnson,denise50@curtis.com,Gadget X,2.0,60.2,4.82,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1146,2024-08-03,Matthew Delgado,everettnicole@gmail.com,Widget C,10.0,67.69,5.42,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1147,2025-03-18,Christopher Moore,heathersmith@yahoo.com,Gadget X,0.0,34.51,2.76,"{""color"": ""green"", ""warranty"": ""3 years""}"
SO1148,2024-09-01,Melissa Morales,rothelizabeth@yahoo.com,Widget C,20.0,78.55,6.28,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1149,2025-03-18,Andrew Day,batesarthur@gmail.com,Gadget Y,1.0,49.53,3.96,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1150,2025-03-13,Shawn Bryan,halltony@yahoo.com,Widget C,3.0,15.14,1.21,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1151,2025-03-18,Terrance Scott,,Widget B,10.0,43.77,3.5,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1152,2024-08-12,Joshua Lopez,,Widget A,10.0,31.59,2.53,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1153,2025-05-01,Robert Cole,amandacox@peters.biz,Widget A,2.0,44.72,3.58,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1154,2025-03-11,Renee Garcia,mayobrenda@hotmail.com,Widget B,20.0,96.06,7.68,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1155,2024-09-20,Ryan Clark,jeremyhopkins@navarro-brown.org,Gadget Y,10.0,65.93,5.27,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1156,2024-08-02,Denise Wood,anthony32@hotmail.com,Widget A,5.0,31.41,2.51,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1157,2025-01-19,Gary Rose,lisa25@hotmail.com,Gadget X,5.0,45.4,3.63,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1158,2024-06-14,James Stevens,michael73@bush-faulkner.info,Widget A,20.0,20.19,1.62,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1159,2025-03-08,Angela Wright,cgiles@evans.com,Widget B,0.0,72.96,5.84,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1160,2024-12-18,Jacqueline Norman,heather62@yahoo.com,Widget B,10.0,24.64,1.97,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1161,2024-07-12,Michael Burgess,croman@yahoo.com,Widget B,3.0,95.47,7.64,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1162,2025-03-24,William Lucas,stephaniechang@flynn.com,Gadget X,10.0,41.73,3.34,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
SO1163,2025-05-07,Jennifer Austin,maldonadoamanda@moon-lee.net,Gadget Y,10.0,24.12,1.93,"{""color"": ""blue"", ""warranty"": ""2 years""}"
SO1164,2025-01-05,Shirley Griffin,nicole25@edwards.com,Gadget X,2.0,78.49,6.28,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1165,2025-02-27,Amanda Gardner,john10@luna.biz,Gadget Y,0.0,66.39,5.31,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1166,2024-05-25,Jason Ellis,hamiltonrobert@gmail.com,Gadget X,,97.08,7.77,"{""color"": ""red"", ""warranty"": ""1 year""}"
SO1167,2025-01-25,Mark Jones,,Widget B,20.0,64.52,5.16,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1168,2025-01-25,Bryce Barrett,jsimmons@jones.com,Widget B,3.0,41.61,3.33,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1169,2024-07-17,Joseph White,stephen21@hotmail.com,Widget B,10.0,53.32,4.27,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1170,2024-08-12,Connie Reyes,malonetaylor@hotmail.com,Widget B,5.0,64.98,5.2,"{""color"": ""yellow"", ""warranty"": ""2 years""}"
SO1171,2025-03-15,Jennifer Mcdonald,jennifer70@martinez.info,Widget C,10.0,37.54,3.0,"{""color"": ""yellow"", ""warranty"": ""1 year""}"
SO1172,2024-08-08,James Burton,avalenzuela@yahoo.com,Widget C,1.0,73.91,5.91,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1173,2025-05-11,Holly Rodriguez,gouldkendra@gmail.com,Widget B,3.0,27.71,2.22,"{""color"": ""green"", ""warranty"": ""1 year""}"
SO1174,2025-01-01,Cory Porter,steven37@castro.info,Widget B,10.0,76.92,6.15,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1175,2024-09-20,Leslie Barnes,emily75@hotmail.com,Widget C,2.0,99.83,7.99,"{""color"": ""blue"", ""warranty"": ""3 years""}"
SO1176,2024-07-15,Devon Strong,,Widget B,3.0,18.52,1.48,"{""color"": ""red"", ""warranty"": ""3 years""}"
SO1177,2024-10-14,Nicholas Thompson,lisa29@yahoo.com,Widget A,2.0,15.8,1.26,"{""color"": ""red"", ""warranty"": ""2 years""}"
SO1178,2025-01-19,Tina Gonzalez,ssellers@gmail.com,Widget A,20.0,79.79,6.38,"{""color"": ""blue"", ""warranty"": ""1 year""}"
SO1179,2024-07-09,Katherine Johnson,fjohnson@hotmail.com,Widget B,2.0,82.68,6.61,"{""color"": ""yellow"", ""warranty"": ""3 years""}"
